claveCarrera,nombre,nombreCorto
ISIC-2010-224,INGENIERIA EN SISTEMAS COMPUTACIONALES,SISTEMAS
IQUI-2010-232,INGENIERIA QUIMICA,QUIMICA
IMCT-2010-229,INGENIERIA MECATRONICA,MECATRONICA
IINF-2010-220,INGENIERIA INFORMATICA,INFORMATICA
IIND-2010-227,INGENIERIA INDUSTRIAL,INDUSTRIAL
IGEM-2009-203,INGENIERIA EN GESTION EMPRESARIAL,GESTION
IEME-2010-210,INGENIERIA ELECTROMECANICA,ELECTROMECANICA
ICIV-2010-208,INGENIERIA CIVIL,CIVIL
IBQA-2010-207,INGENIERIA BIOQUIMICA,BIOQUIMICA
IIND-2010-228,INGENIERIA INDUSTRIAL,INDUSTRIAL
